AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
-2.9525,-4.3688,-3.318,-6.7043,-2.8911,0.0082,-0.0437,0.3538,0.4705,-1.7107,1.4393,1.4656,-0.4177,-0.1628
-1.2156,-3.3886,-3.6281,-8.1464,-0.8755,-0.0007,-0.065,0.4688,0.2842,-5.0532,0.2028,1.4195,3.3095,1.4101
3.5413,2.5413,0.6428,-1.6582,1.8308,0.0023,-0.0965,-0.5973,-0.4109,-3.2543,-2.0078,-1.6111,-0.0598,0.8714
5.1482,8.3613,5.0754,9.6813,0.4234,0.0169,-0.1116,-0.8609,-0.495,-4.5223,-6.005,-5.7138,-7.4387,-2.0822
-2.3695,2.6615,1.529,13.5159,-3.2541,0.0041,-0.1139,-0.5217,-0.5431,-17.2636,-11.307,-8.8727,-12.2214,-6.413
-14.7038,-13.6696,-10.0896,2.1649,-4.8967,-0.0317,-0.1147,-1.3418,-1.4864,-38.0648,-15.9204,-10.9692,-15.7375,-10.6327
-19.2933,-23.0485,-17.886,-14.0044,-5.4847,-0.0319,-0.1152,-2.1826,-1.9172,-49.0358,-15.8663,-9.8065,-19.9114,-11.3848
-11.5788,-15.823,-13.1764,-17.675,-7.8402,0.0107,-0.1112,-0.7298,-0.3062,-35.6452,-9.2636,-4.1451,-17.6998,-6.6841
-2.5498,-3.9481,-3.4506,-8.0343,-9.3323,0.0351,-0.0958,1.5569,1.6565,-7.7103,-0.5421,1.1167,-5.0556,-0.7613
-1.8208,0.7312,0.4689,0.8585,-5.1625,0.0212,-0.0731,1.6452,1.5322,11.5973,4.6725,2.2136,7.0178,1.1056
-2.6906,2.6739,1.1773,2.5953,2.9476,0.0086,-0.0745,0.113,0.0879,16.6062,6.7681,3.1617,7.5293,0.8448
3.792,7.3848,5.7472,3.4631,7.6051,0.0098,-0.1115,-0.4843,-0.3943,19.8302,8.5562,6.4701,2.6049,2.9582
11.6163,10.6456,10.8313,7.4765,5.8045,0.0046,-0.1107,-0.1503,0.1159,25.5026,8.6743,6.3901,3.1866,5.3809
11.0666,9.7349,9.7064,9.9818,3.1704,-0.0015,-0.0183,-0.7756,-0.0651,25.2768,5.2446,-0.2143,6.721,3.6142
5.0578,7.2108,4.1037,5.7581,5.206,0.004,-0.0076,-2.6843,-1.3794,17.1419,1.3755,-6.418,5.097,-0.4117
1.0693,3.0343,-0.5421,-2.918,8.1257,0.0061,-0.3322,-4.0498,-2.4076,7.9664,0.3017,-6.1271,0.1324,-1.9534
-0.8642,-2.2507,-2.3988,-6.7908,4.4231,0.0001,-0.7873,-3.0228,-1.7316,0.4785,-0.2972,-2.8309,-2.0516,-1.3996
-2.573,-3.0953,-1.4705,-0.344,-4.3016,0.0052,-0.7258,-0.0304,0.2049,-7.6025,-3.4561,-1.7689,-3.4795,-1.8592
-3.1792,0.0454,0.3056,7.8456,-8.7982,0.018,-0.0258,2.0262,1.3128,-17.1819,-7.5913,-2.5444,-10.134,-3.7576
-5.1821,-2.629,-2.4275,4.4406,-6.5997,0.0144,0.5264,1.0655,0.4123,-28.6719,-10.4934,-3.8025,-20.0981,-6.3494
-11.9928,-12.6383,-10.912,-8.1005,-4.5046,-0.0008,0.3833,-1.1639,-1.1089,-40.0503,-12.7274,-6.6451,-23.4557,-9.256
-18.8739,-18.0953,-17.2281,-14.0373,-5.6883,-0.0048,-0.0532,-1.7389,-1.4249,-42.6811,-13.8514,-10.05,-15.3809,-10.6715
-18.4573,-13.8468,-14.8258,-8.6031,-6.0718,0.0015,-0.388,-1.0256,-0.8723,-31.7922,-11.5786,-10.0351,-5.6654,-9.2256
-11.8953,-8.6236,-7.6466,-2.9175,-4.1741,0.0046,-0.7052,-1.0873,-0.6522,-16.1617,-6.2668,-5.5535,-6.398,-6.5327
-4.8618,-7.0429,-2.2984,-3.2547,-2.6036,0.0039,-0.7586,-1.524,-0.5736,-3.948,-0.5619,-0.1846,-11.2982,-3.7665
1.2281,-3.4791,0.832,-3.4711,-0.4491,-0.0023,-0.1806,-0.9385,-0.1501,8.4904,4.2866,2.5425,-4.0028,0.3175
7.1174,3.8225,4.0231,0.6607,4.5646,-0.018,0.4763,-0.1927,-0.0278,21.7084,7.2992,2.3295,12.8235,5.0393
11.6191,10.2132,7.764,6.2829,8.8054,-0.0248,0.4148,-0.4134,-0.4233,27.4353,7.2206,1.3924,19.0142,7.01
13.6656,14.9594,11.9811,11.4287,7.5979,0.0025,-0.1004,-0.5889,-0.2707,27.0679,6.3379,2.1379,9.0944,5.5951
13.7978,19.3547,15.307,14.5333,3.7312,0.0478,-0.3668,0.0081,0.6628,31.6138,8.524,4.4605,0.03,4.1443
12.4301,19.5539,14.3004,11.7045,3.0144,0.0619,-0.3233,0.1665,1.0219,38.6252,11.8216,5.2769,3.9365,4.6209
8.7038,12.6866,8.0365,4.2848,5.4891,0.0302,-0.1336,-0.9637,0.011,34.0443,10.2943,1.8734,11.7019,4.4084
1.5864,3.2242,0.2647,-0.7515,7.0206,-0.0037,0.1217,-2.7887,-1.623,16.4118,3.4543,-4.5409,8.2245,0.0406
-6.9861,-3.9664,-5.2647,-2.4943,5.1686,-0.0019,-0.045,-4.4102,-2.7581,-2.9078,-3.5272,-9.4443,-7.2664,-6.9777
-12.0186,-9.6778,-8.0139,-5.524,-0.4818,0.0153,-0.8863,-4.6695,-2.6253,-18.1113,-7.9221,-9.735,-21.3754,-10.9782
-12.3449,-15.6853,-9.4533,-8.6916,-8.6793,0.0096,-1.3939,-2.7187,-1.1689,-29.4374,-10.7043,-7.3744,-23.4468,-9.9793
-13.3682,-20.0921,-11.3363,-8.0093,-14.5132,-0.0123,-0.5874,-0.0874,0.3357,-34.242,-11.7717,-6.5541,-17.4066,-8.515
-17.1585,-19.6575,-13.3545,-5.8353,-13.0801,-0.0151,0.6388,0.5122,0.3849,-31.6895,-10.4657,-7.7497,-14.1529,-9.7962
-16.7189,-13.8446,-12.1566,-5.5443,-6.8238,0.0031,0.7746,-0.6064,-0.5008,-26.5872,-8.2984,-7.358,-15.3105,-10.0936
-7.468,-5.4784,-5.9091,-4.3992,-2.2968,0.0105,0.0807,-0.5033,-0.4735,-19.6985,-5.9071,-3.0299,-11.7559,-5.0645
3.968,2.2483,2.0249,0.1583,0.204,-0.0041,-0.166,1.199,0.5267,-4.867,-0.9669,3.0914,0.9026,2.8118
10.1574,8.6011,7.8378,5.6242,4.6978,-0.0156,0.0353,1.6022,0.7754,18.2291,6.5389,6.6534,13.9312,7.6538
12.4671,13.5248,11.5564,9.3864,8.8567,-0.0052,-0.214,-0.2286,-0.0276,37.4646,11.5344,5.624,17.082,7.7248
12.9456,14.4111,12.5091,9.9096,6.5594,0.0162,-0.7935,-1.6239,-0.3284,39.5771,10.322,2.1311,11.5518,5.4294
7.8258,8.6844,7.4181,4.8539,-0.408,0.0308,-0.8275,-1.085,0.2625,23.9319,5.313,-0.7333,4.6714,2.1965
-3.2762,-1.187,-2.3438,-3.5753,-4.1923,0.0319,-0.3278,-0.7825,0.1582,0.9271,-0.2514,-3.2508,-3.4123,-2.8041
-12.7013,-9.9731,-9.9498,-8.1201,-2.9657,0.0187,-0.0705,-2.6186,-1.484,-21.7287,-7.4366,-7.9662,-17.3118,-9.4505
-15.2956,-15.591,-12.9376,-7.706,-2.1264,-0.0053,-0.2238,-4.6479,-3.1403,-43.2442,-16.8589,-14.0142,-30.9136,-14.3884
-13.6626,-17.8119,-14.2175,-7.9185,-4.7399,-0.0267,-0.2841,-3.6221,-2.8067,-58.2383,-23.1586,-15.9433,-29.3992,-13.4688
-10.5224,-14.3875,-12.9617,-7.7955,-7.4869,-0.0294,-0.1073,0.0546,-0.7015,-54.6595,-20.4621,-10.666,-12.9693,-7.2492
-5.4429,-4.9784,-6.1566,-2.2461,-5.9637,-0.0101,-0.0768,2.3998,0.8949,-31.1949,-10.7013,-2.4576,-0.6233,-1.4043
0.6652,4.4735,2.3863,3.7003,-0.4469,0.0157,-0.3327,1.3654,0.6902,-2.9867,-0.5165,2.9508,-0.9031,0.9308
5.3341,7.9309,6.342,2.1824,4.4609,0.0254,-0.5056,-0.4536,-0.0037,17.9225,7.3521,5.7109,-0.0956,2.8347
7.7416,7.0018,6.8854,-1.0426,5.3995,0.0143,-0.3279,-0.4013,0.2822,33.4044,13.5703,8.0272,10.0869,6.166
8.2005,7.1129,8.3967,3.082,4.2249,0.0038,-0.0497,0.0533,0.7247,45.2132,16.6355,7.7782,17.2676,7.0884
6.7847,8.4201,9.3425,8.8126,4.6066,0.0086,-0.0035,-1.3771,-0.056,46.7414,14.5157,2.954,12.1507,3.499
3.7454,5.6009,5.8393,5.942,5.6983,0.0098,-0.1031,-3.3639,-1.3786,34.0737,8.9292,-2.4824,3.3414,-0.6062
-0.7362,-3.1997,-0.8365,-2.0748,2.8853,-0.0076,-0.0917,-3.302,-1.6242,11.6832,2.3865,-4.4872,-2.1204,-2.594
-5.6328,-10.9794,-6.0232,-5.2992,-4.5553,-0.0168,0,-1.475,-0.709,-13.6015,-5.3407,-5.4227,-9.161,-4.7957
-6.8425,-9.2341,-6.7858,-2.8169,-10.3698,0.0056,-0.0191,0.1934,0.2611,-32.8095,-12.8665,-7.6846,-16.6268,-6.8848
-1.3884,0.0162,-3.3385,-0.3298,-8.45,0.027,-0.1357,1.1068,0.6684,-34.7111,-14.4413,-7.2857,-13.3926,-4.2951
5.2967,5.9265,0.9676,-0.3885,-0.7902,0.0121,-0.1867,1.3598,0.5188,-18.0751,-7.3991,-1.4327,-0.2805,2.0343
5.2622,4.467,2.2131,-1.9581,4.9024,-0.0078,-0.1342,0.6689,0.0485,2.9165,2.2699,4.2619,7.8526,4.8649
0.8604,3.4084,0.8059,-3.891,4.5289,0.0154,-0.0779,-0.4403,-0.1606,14.3498,6.9599,3.8184,6.0415,2.4095
-0.1524,7.1141,0.1506,-4.8936,1.0964,0.0594,-0.0744,-0.7908,0.1863,14.9173,5.8372,-0.2541,2.8888,0.0134
1.256,7.8395,0.5327,-3.5134,-0.6956,0.0594,-0.0832,-0.4476,0.395,9.2138,2.7103,-2.0495,1.8319,-0.1473
0.1775,0.2541,0.1517,0.0536,0.1018,0.0017,-0.0664,-0.2186,-0.0923,0.4441,-0.0913,-0.4105,-0.3571,-0.177
-0.3482,-3.4085,-1.4412,-0.7999,-1.7408,-0.0159,0.0555,0.2176,0.0385,-6.7807,-2.6858,-1.1742,-0.4632,-0.2478
-7.4345,-12.0067,-6.6996,-3.3244,-6.7523,-0.0262,0.0794,0.8898,0.2677,-25.5294,-7.9798,-2.0676,-8.8693,-3.8171
-10.4915,-13.5464,-8.9649,-3.4548,-5.1032,-0.0334,0.3823,0.5182,-0.2853,-31.5992,-9.9917,-3.6261,-10.8238,-5.5842
-9.348,-10.4427,-8.0921,-1.074,-0.4598,-0.0401,0.5246,-0.5584,-1.1877,-27.5962,-10.052,-5.8919,-7.5787,-5.613
-6.1247,-6.8245,-5.3887,1.8593,1.0955,-0.0385,0.0909,-1.2122,-1.5095,-23.0788,-10.2967,-7.1641,-5.3707,-4.8203
-1.268,-1.398,-1.2779,3.1587,0.7424,-0.0192,-0.4729,-0.6085,-0.8894,-18.1642,-8.5584,-4.2612,-4.6037,-2.2789
5.1429,4.8863,3.2158,2.2523,1.2414,-0.0022,-0.504,1.3042,0.4301,-8.0725,-2.8291,2.8744,1.371,3.2396
9.6928,5.922,5.4344,1.0872,0.5017,-0.0139,-0.1871,3.2768,1.7031,2.7734,2.6164,8.2669,12.458,8.6461
8.8435,1.1867,4.6079,1.633,-2.092,-0.0361,-0.2478,3.2417,1.8635,7.3582,3.2895,7.0399,17.2427,8.8033
4.5492,-2.3709,3.0083,1.9649,-1.8886,-0.0323,-0.6969,0.6648,0.5998,9.7774,2.5179,2.5441,10.1555,4.1701
1.7214,-1.3026,2.1831,-0.3172,2.2285,-0.0071,-0.6714,-2.103,-0.8403,16.504,4.9817,0.2944,1.4972,0.3593
1.9173,2.1219,2.2221,-1.2676,4.5253,0.0106,0.1539,-2.3358,-0.9422,22.7856,7.8636,0.1001,1.2144,0.0429
2.4619,5.267,3.0862,3.4427,2.6266,0.0129,0.8623,-0.5686,-0.0476,20.5367,6.4349,-0.4694,4.4528,0.5729
-0.2505,3.9795,2.2533,7.2979,0.6844,0.0053,0.6745,0.1649,0.0968,9.0578,1.6753,-1.6616,1.708,-1.0708
-6.6971,-5.4023,-3.8758,0.7382,-0.6304,-0.0095,0.1099,-0.9774,-0.8139,-10.0423,-3.9957,-3.6472,-7.1641,-4.6926
-11.9833,-16.8076,-12.2093,-11.2966,-5.4722,-0.0201,-0.0253,-1.3334,-1.0525,-34.985,-11.0362,-6.3917,-15.754,-7.5295
-10.5999,-18.6119,-13.9757,-13.6725,-11.8913,-0.0182,0.1522,0.6701,0.1399,-54.3456,-17.7011,-7.3538,-19.2398,-7.1154
-3.6581,-9.7434,-6.7543,-3.0961,-11.6479,-0.0178,0.1704,2.7071,1.1816,-49.7762,-17.5442,-4.4483,-14.8746,-3.5574
3.4649,0.2129,2.1473,6.7815,-3.5743,-0.0267,0.114,2.4644,0.9624,-18.2572,-7.4636,0.5581,-1.9124,1.4528
8.7452,5.8687,6.4025,5.536,3.5996,-0.0248,0.2767,1.2464,0.6111,18.0851,5.7974,4.4199,14.1966,6.5046
12.7666,9.3816,7.5058,0.1622,4.7144,-0.0058,0.4613,1.0098,1.0005,35.8842,12.6937,5.8395,23.4308,9.8645
13.533,11.446,8.6729,1.4201,4.5175,0.0056,0.2241,0.7931,0.9722,35.6539,12.0563,5.3756,21.03,9.3928
8.0362,9.0958,7.999,5.9619,6.5498,0.0009,-0.3785,-0.8871,-0.3109,29.313,8.9581,3.4258,11.0627,4.702
-2.4961,1.7019,2.0705,4.0619,6.0626,0.0028,-0.752,-2.7035,-1.5678,16.1249,4.5794,-0.3858,-0.5417,-2.0735
-11.7994,-6.8525,-6.5003,-2.9191,0.0942,0.0121,-0.5173,-2.5937,-1.5218,-7.2308,-2.7024,-5.0707,-9.7599,-7.4672
-13.4907,-12.0215,-10.6615,-6.0326,-5.5908,0.0007,0.0257,-1.0416,-0.7572,-27.304,-9.4979,-7.4411,-12.8217,-8.4311
-8.0271,-12.4686,-8.3858,-3.9467,-6.4218,-0.0287,0.3054,0.1762,-0.2409,-30.5935,-11.0566,-6.0228,-9.7317,-5.3074
-3.2745,-10.6715,-5.4499,-3.1282,-6.0872,-0.0358,0.1615,0.6471,0.0995,-26.3384,-9.5568,-3.6944,-7.0503,-2.5002
-4.607,-9.8165,-6.5779,-5.7597,-7.9179,-0.0132,-0.0041,0.9723,0.4737,-29.8544,-10.0871,-3.5398,-9.2751,-3.1143
-7.4285,-9.2974,-8.4138,-6.3069,-8.7444,0.0002,0.2295,1.4639,0.6565,-36.5046,-11.8893,-4.2317,-11.7329,-4.5703
-4.5822,-5.3582,-5.0916,-0.797,-5.9506,-0.0106,0.6576,2.2079,0.8158,-30.0084,-9.8012,-2.1461,-7.6662,-2.5953
3.0905,2.6269,2.9077,6.5561,-2.0719,-0.0153,0.6083,2.9599,1.3697,-5.4937,-1.5558,3.3656,3.0222,2.7699
9.783,10.6402,10.171,9.3467,1.1361,0.0029,-0.0867,2.7895,1.8693,26.5883,9.7015,8.9915,14.9633,8.0077
13.4893,15.298,13.5349,7.1543,5.607,0.0206,-0.6935,1.1202,1.3854,51.0531,18.2921,11.2008,22.349,10.6507
14.6543,15.0466,12.7709,3.3882,10.9678,0.0145,-0.5577,-1.3165,-0.098,56.7523,19.8193,8.8135,21.6975,10.0329
10.6811,8.4157,7.3394,-0.5422,12.4233,-0.0065,-0.025,-3.3573,-1.6783,40.866,13.385,2.4246,12.8263,5.492
0.0876,-1.782,-1.5643,-4.0246,7.7147,-0.0142,0.1804,-4.1516,-2.4725,10.8947,2.2768,-5.1859,-0.7137,-2.1634
-10.8061,-7.9699,-8.498,-4.717,0.741,0.0005,0.0194,-3.0819,-2.0673,-17.8918,-7.4463,-9.0274,-12.2063,-8.4338
-13.778,-8.2567,-9.4024,-2.1486,-4.1676,0.0103,-0.0555,-0.7054,-0.855,-33.5784,-11.9782,-7.3064,-16.5479,-9.2708
-9.6249,-8.4104,-7.1193,0.0709,-6.9067,-0.0057,0.0716,1.0506,0.1117,-38.074,-13.3296,-4.7475,-15.7085,-6.6502
-5.4479,-9.2268,-5.9164,-0.4529,-8.4906,-0.0189,0.1505,1.369,0.4074,-38.9202,-14.2484,-4.9423,-14.4695,-4.8842
-3.1413,-5.0971,-4.4671,-1.4326,-7.3496,-0.0017,0.0822,1.3996,0.5988,-32.457,-11.882,-4.0897,-11.256,-3.3675
1.2684,2.877,0.1402,-0.568,-1.8899,0.0144,0.0005,1.6063,0.8443,-9.6971,-2.7014,1.3394,-0.5857,1.1884
8.1435,7.3497,5.8238,0.9069,4.9952,-0.0045,-0.0585,1.1349,0.6667,21.0653,8.6583,7.1102,14.7605,7.3989
11.3917,7.1485,8.0324,1.5168,7.4961,-0.0229,-0.2235,0.1558,0.2377,35.541,12.9181,7.6727,21.4165,9.5124
6.2531,5.1905,5.4145,1.7887,3.42,-0.0007,-0.4431,-0.2088,0.1877,23.5193,8.0328,4.0461,11.1228,4.8071
-3.2583,0.3059,0.4292,1.6344,-3.3369,0.0274,-0.3867,0.1202,0.4865,3.274,1.4781,0.7379,-5.0217,-2.1689
-7.456,-6.0318,-3.036,-0.2972,-7.1202,0.0179,0.0564,0.4772,0.7404,-3.3694,-0.1103,-0.3612,-8.9065,-4.3799
-2.8346,-5.6479,-2.7146,-3.3171,-5.2058,-0.0001,0.4767,0.4949,0.715,2.1701,1.6167,-0.4523,-0.4507,-1.0669
2.8017,2.357,-0.4253,-4.2064,0.9774,0.0105,0.4425,-0.2502,0.0403,5.0047,1.7075,-1.2041,4.4504,1.5059
1.3822,6.6269,0.1778,-1.3245,6.7357,0.0202,0.0759,-1.7428,-1.2819,0.4561,-0.7203,-2.853,-0.5978,-0.6859
-4.0457,1.2431,-1.4605,2.8247,7.3436,-0.0054,-0.0965,-2.5037,-2.1075,-5.5404,-3.3336,-4.174,-5.6586,-4.0423
-5.6149,-5.2496,-3.0505,3.7121,2.7213,-0.0347,0.1825,-1.314,-1.3955,-8.5978,-4.4158,-4.1447,-2.9419,-3.8176
-3.0729,-4.9279,-3.4939,-0.5166,-2.4522,-0.0205,0.4762,0.4813,0.0966,-8.1182,-3.3608,-2.8639,1.7148,-1.2592
-1.5105,-1.7625,-3.0186,-5.6499,-4.7115,0.0195,0.1843,0.8697,0.8535,-5.5572,-1.0169,-0.7622,-0.4265,-0.3149
